INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719385800.979924,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.16,395.92,1036.91,1531.36,0.00,0.00;0.00
0.66,396.99,1035.84,1530.29,44.23,42.19;46.27
1.16,396.96,1035.87,1530.32,2.04,4.08;0.00
1.66,396.96,1035.87,1530.32,8.14,14.29;2.00
2.16,397.21,1035.62,1530.08,8.14,14.29;2.00
2.66,397.21,1035.62,1530.08,4.90,7.84;1.96
3.16,397.20,1035.62,1530.09,2.98,3.92;2.04
3.66,397.20,1035.62,1530.09,0.00,0.00;0.00
4.16,397.20,1035.62,1530.09,5.10,4.08;6.12
4.66,397.20,1035.62,1530.09,1.96,0.00;3.92
5.16,397.20,1035.62,1530.09,2.00,2.04;1.96
5.66,397.20,1035.62,1530.09,2.00,0.00;4.00
6.16,397.20,1035.62,1530.09,1.00,2.00;0.00
6.66,397.20,1035.62,1530.09,7.90,9.80;6.00
7.16,404.58,1028.24,1522.71,58.83,91.67;26.00
7.66,409.49,1023.32,1517.79,52.83,91.67;14.00
8.16,414.41,1018.39,1512.87,62.00,24.00;100.00
8.66,418.84,1013.96,1508.44,62.24,24.49;100.00
9.16,424.50,1008.30,1502.78,55.77,11.54;100.00
9.66,431.14,1001.66,1496.14,56.16,14.29;98.04
10.16,438.04,994.77,1489.25,68.63,37.25;100.00
10.66,441.27,991.54,1486.02,67.35,34.69;100.00
11.16,446.40,986.39,1480.89,81.08,92.16;70.00
11.66,450.83,981.96,1476.46,62.24,100.00;24.49
12.16,456.73,976.05,1470.55,54.00,52.00;56.00
12.66,449.60,983.19,1477.69,56.00,12.00;100.00
13.16,398.39,1034.38,1528.90,14.00,18.00;10.00
13.66,398.39,1034.38,1528.90,0.00,0.00;0.00
14.16,398.39,1034.38,1528.90,1.00,0.00;2.00
14.66,398.39,1034.38,1528.90,2.92,3.85;2.00
15.16,398.39,1034.38,1528.90,0.98,0.00;1.96
15.66,398.39,1034.38,1528.90,2.92,3.85;2.00
16.16,398.39,1034.38,1528.90,0.00,0.00;0.00
16.66,398.39,1034.38,1528.90,2.00,2.00;2.00
17.16,398.39,1034.38,1528.90,2.02,2.04;2.00
17.66,398.39,1034.38,1528.90,1.00,2.00;0.00
18.16,398.39,1034.38,1528.90,1.00,0.00;2.00
18.66,398.39,1034.38,1528.90,1.00,0.00;2.00
19.16,398.39,1034.38,1528.90,2.00,2.00;2.00
19.66,398.39,1034.38,1528.90,2.00,2.00;2.00
20.16,398.39,1034.38,1528.90,2.96,2.00;3.92
20.66,398.39,1034.38,1528.90,1.00,2.00;0.00
21.16,398.39,1034.38,1528.90,1.00,0.00;2.00
21.66,398.39,1034.38,1528.90,3.92,3.92;3.92
22.16,398.39,1034.38,1528.90,2.00,2.00;2.00
22.66,398.39,1034.38,1528.90,0.98,1.96;0.00
23.16,398.38,1034.38,1528.91,2.02,2.00;2.04
23.66,398.38,1034.38,1528.91,0.00,0.00;0.00
24.16,398.38,1034.38,1528.91,1.00,0.00;2.00
24.66,398.38,1034.38,1528.91,0.00,0.00;0.00
25.16,398.38,1034.38,1528.91,3.88,5.77;2.00
25.66,398.38,1034.38,1528.91,0.00,0.00;0.00
26.16,398.38,1034.38,1528.91,1.00,2.00;0.00
26.66,398.38,1034.38,1528.91,2.88,0.00;5.77
27.16,398.38,1034.38,1528.91,2.88,5.77;0.00
27.66,398.38,1034.38,1528.91,1.00,2.00;0.00
28.16,402.56,1030.20,1524.72,36.73,28.57;44.90
28.66,407.48,1025.28,1519.80,54.00,100.00;8.00
29.16,412.14,1020.60,1515.14,56.25,100.00;12.50
29.66,417.31,1015.43,1509.97,65.00,100.00;30.00
30.16,423.46,1009.28,1503.82,57.65,35.29;80.00
30.66,427.16,1005.59,1500.13,51.00,4.00;98.00
31.16,434.05,998.70,1493.24,82.00,66.00;98.00
31.66,439.95,992.79,1487.34,75.00,52.00;98.00
32.16,444.13,988.61,1483.15,55.10,10.20;100.00
32.66,448.32,984.43,1478.97,65.31,93.88;36.73
33.16,454.47,978.27,1472.82,57.84,100.00;15.69
33.66,458.16,974.58,1469.12,51.02,100.00;2.04
34.16,398.36,1034.38,1528.93,40.78,60.00;21.57
34.66,398.36,1034.38,1528.93,2.00,2.00;2.00
35.16,398.36,1034.38,1528.93,1.96,3.92;0.00
35.66,398.36,1034.38,1528.93,0.00,0.00;0.00
36.16,398.36,1034.38,1528.93,1.96,0.00;3.92
36.66,398.36,1034.38,1528.93,1.00,2.00;0.00
37.16,398.36,1034.38,1528.93,2.00,4.00;0.00
37.66,398.36,1034.38,1528.93,3.00,3.92;2.08
38.16,398.35,1034.38,1528.93,1.96,0.00;3.92
38.66,398.35,1034.38,1528.93,0.00,0.00;0.00
39.16,398.35,1034.38,1528.93,2.00,2.00;2.00
39.66,398.35,1034.38,1528.93,2.00,2.00;2.00
40.16,398.35,1034.38,1528.93,2.96,2.00;3.92
40.66,398.35,1034.38,1528.93,1.98,2.00;1.96
41.16,398.35,1034.38,1528.93,2.02,2.04;2.00
41.66,396.60,1036.14,1530.69,23.47,24.49;22.45
42.16,396.53,1036.07,1530.76,54.34,44.68;64.00
