INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719398485.7009287,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.18,397.51,1026.69,1529.77,0.00,0.00;0.00
0.67,398.09,1026.11,1529.19,44.67,48.44;40.91
1.17,398.09,1026.11,1529.19,2.92,2.00;3.85
1.67,398.09,1026.11,1529.19,2.00,2.00;2.00
2.17,398.09,1026.11,1529.20,2.94,3.92;1.96
2.67,398.09,1026.11,1529.20,1.00,2.00;0.00
3.17,398.09,1026.11,1529.20,0.00,0.00;0.00
3.67,398.09,1026.11,1529.20,3.00,4.00;2.00
4.17,398.09,1026.11,1529.20,0.00,0.00;0.00
4.67,398.09,1026.11,1529.20,3.96,3.92;4.00
5.17,398.09,1026.11,1529.20,0.00,0.00;0.00
5.67,398.09,1026.11,1529.20,2.96,2.00;3.92
6.17,398.09,1026.11,1529.20,0.00,0.00;0.00
6.67,398.09,1026.11,1529.20,2.98,2.04;3.92
7.17,398.09,1026.11,1529.20,1.96,3.92;0.00
7.67,398.09,1026.11,1529.20,1.00,0.00;2.00
8.17,398.09,1026.11,1529.20,0.00,0.00;0.00
8.67,398.09,1026.11,1529.20,2.98,2.04;3.92
9.17,398.09,1026.11,1529.20,1.00,0.00;2.00
9.67,398.09,1026.11,1529.20,2.02,2.04;2.00
10.17,398.09,1026.11,1529.20,0.00,0.00;0.00
10.67,398.55,1025.64,1528.73,25.24,24.49;26.00
11.17,414.70,1009.48,1512.59,58.00,52.00;64.00
11.67,415.97,1008.22,1511.31,26.83,29.17;24.49
12.17,415.97,1008.22,1511.31,0.00,0.00;0.00
12.67,415.97,1008.22,1511.31,2.02,2.00;2.04
13.17,415.97,1008.22,1511.31,0.00,0.00;0.00
13.67,415.97,1008.22,1511.31,2.00,0.00;4.00
14.17,415.97,1008.22,1511.31,0.98,0.00;1.96
14.67,415.97,1008.22,1511.31,1.96,3.92;0.00
15.17,415.97,1008.22,1511.31,1.00,0.00;2.00
15.67,415.97,1008.22,1511.31,2.96,3.92;2.00
16.17,415.97,1008.22,1511.31,4.98,1.96;8.00
16.67,415.97,1008.22,1511.31,26.55,2.08;51.02
17.17,415.97,1008.22,1511.32,25.96,3.92;48.00
17.67,415.97,1008.22,1511.32,25.51,2.04;48.98
18.17,415.96,1008.22,1511.32,25.49,3.92;47.06
18.67,415.96,1008.22,1511.32,26.02,2.04;50.00
19.17,415.96,1008.22,1511.32,23.47,0.00;46.94
19.67,415.96,1008.22,1511.32,26.02,2.04;50.00
20.17,415.96,1008.22,1511.32,25.00,2.00;48.00
20.67,415.96,1008.22,1511.32,27.00,4.00;50.00
21.17,415.96,1008.22,1511.32,26.00,2.00;50.00
21.67,415.96,1008.22,1511.32,1.00,0.00;2.00
22.17,415.96,1008.22,1511.33,6.94,5.88;8.00
22.67,415.96,1008.22,1511.33,2.00,2.00;2.00
23.17,415.96,1008.22,1511.33,1.98,2.00;1.96
23.67,415.96,1008.22,1511.33,2.02,2.04;2.00
24.17,415.95,1008.22,1511.34,4.06,6.12;2.00
24.67,415.95,1008.22,1511.34,3.94,5.88;2.00
25.17,415.95,1008.22,1511.34,1.00,2.00;0.00
25.67,415.95,1008.22,1511.34,1.00,0.00;2.00
26.17,415.95,1008.22,1511.34,2.00,2.00;2.00
26.67,415.95,1008.22,1511.34,2.88,5.77;0.00
27.17,415.95,1008.22,1511.34,7.00,8.00;6.00
27.67,415.95,1008.22,1511.34,6.23,10.42;2.04
28.17,415.95,1008.22,1511.34,7.00,12.00;2.00
28.67,415.95,1008.22,1511.34,2.00,2.00;2.00
29.17,415.95,1008.22,1511.34,1.00,0.00;2.00
29.67,415.95,1008.22,1511.34,2.02,2.00;2.04
30.17,415.95,1008.22,1511.34,1.98,2.00;1.96
30.67,415.95,1008.22,1511.34,2.98,3.92;2.04
31.17,415.94,1008.22,1511.34,1.98,2.00;1.96
31.67,415.20,1008.96,1512.08,22.20,24.00;20.41
32.17,398.96,1025.20,1528.33,51.28,60.00;42.55
32.67,399.20,1024.96,1528.09,28.62,29.79;27.45
33.17,399.20,1024.96,1528.09,1.98,2.00;1.96
33.67,399.20,1024.96,1528.09,23.70,24.00;23.40
34.17,399.20,1024.96,1528.09,1.96,0.00;3.92
34.67,399.20,1024.96,1528.09,1.96,0.00;3.92
35.17,399.20,1024.96,1528.09,0.98,1.96;0.00
35.67,399.20,1024.96,1528.09,6.06,6.00;6.12
36.17,399.20,1024.96,1528.09,1.98,1.96;2.00
36.67,399.20,1024.96,1528.09,1.00,0.00;2.00
37.17,399.20,1024.96,1528.09,2.00,2.00;2.00
37.67,399.20,1024.96,1528.09,2.00,2.00;2.00
38.17,399.20,1024.96,1528.09,1.00,0.00;2.00
38.67,399.20,1024.96,1528.09,1.96,3.92;0.00
39.17,399.20,1024.96,1528.09,0.00,0.00;0.00
39.67,399.20,1024.96,1528.09,1.00,2.00;0.00
40.17,399.20,1024.96,1528.09,2.00,2.00;2.00
40.67,399.20,1024.96,1528.09,1.00,2.00;0.00
41.17,399.20,1024.96,1528.09,3.88,2.00;5.77
41.67,399.20,1024.96,1528.09,1.00,0.00;2.00
42.17,399.20,1024.96,1528.09,2.96,3.92;2.00
42.67,398.46,1025.70,1528.82,25.97,27.45;24.49
43.17,398.17,1025.97,1529.12,48.37,36.73;60.00
