INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719398381.3483934,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.18,397.73,1027.05,1529.55,0.00,0.00;0.00
0.68,398.50,1026.28,1528.79,42.66,42.03;43.28
1.18,398.50,1026.28,1528.79,0.00,0.00;0.00
1.68,398.50,1026.28,1528.79,2.00,2.00;2.00
2.18,398.50,1026.28,1528.79,0.00,0.00;0.00
2.68,398.50,1026.28,1528.79,2.98,3.92;2.04
3.18,398.50,1026.28,1528.79,0.00,0.00;0.00
3.68,398.50,1026.28,1528.79,1.02,2.04;0.00
4.18,398.50,1026.28,1528.79,2.88,0.00;5.77
4.68,398.50,1026.28,1528.79,2.00,2.00;2.00
5.18,398.50,1026.28,1528.79,1.98,2.00;1.96
5.68,398.50,1026.28,1528.79,2.94,5.88;0.00
6.18,398.50,1026.28,1528.79,2.96,2.00;3.92
6.68,398.50,1026.28,1528.79,0.00,0.00;0.00
7.18,398.50,1026.28,1528.79,1.98,1.96;2.00
7.68,398.50,1026.28,1528.79,1.02,2.04;0.00
8.18,398.50,1026.28,1528.79,17.16,16.33;18.00
8.68,398.50,1026.28,1528.79,2.02,2.04;2.00
9.18,398.74,1026.03,1528.54,0.00,0.00;0.00
9.68,398.74,1026.03,1528.54,2.00,2.00;2.00
10.18,398.74,1026.03,1528.54,2.96,3.92;2.00
10.68,398.62,1026.06,1528.66,27.54,27.08;28.00
11.18,399.59,1025.10,1527.70,59.67,52.00;67.35
11.68,417.07,1007.55,1510.22,92.16,86.54;97.78
12.18,417.31,1007.30,1509.97,55.10,61.22;48.98
12.68,417.31,1007.30,1509.97,4.00,4.00;4.00
13.18,417.31,1007.30,1509.97,0.00,0.00;0.00
13.68,417.31,1007.30,1509.97,4.88,4.00;5.77
14.18,417.31,1007.30,1509.97,0.00,0.00;0.00
14.68,417.31,1007.30,1509.97,1.02,0.00;2.04
15.18,417.31,1007.30,1509.97,2.96,3.92;2.00
15.68,417.31,1007.30,1509.97,1.96,3.92;0.00
16.18,417.31,1007.30,1509.97,1.00,0.00;2.00
16.68,417.31,1007.30,1509.97,59.37,54.90;63.83
17.18,417.31,1007.30,1509.97,62.49,83.67;41.30
17.68,417.30,1007.30,1509.98,62.07,89.36;34.78
18.18,417.30,1007.30,1509.98,61.96,87.76;36.17
18.68,417.30,1007.30,1509.98,63.85,78.72;48.98
19.18,417.30,1007.30,1509.98,62.61,89.80;35.42
19.68,417.30,1007.30,1509.98,62.16,84.31;40.00
20.18,417.30,1007.30,1509.98,63.32,89.13;37.50
20.68,417.30,1007.30,1509.98,61.71,88.00;35.42
21.18,417.30,1007.30,1509.98,65.59,90.00;41.18
21.68,417.30,1007.30,1509.98,3.00,6.00;0.00
22.18,417.30,1007.30,1509.98,1.00,0.00;2.00
22.68,417.30,1007.30,1509.98,1.96,3.92;0.00
23.18,417.30,1007.30,1509.98,0.00,0.00;0.00
23.68,417.30,1007.30,1509.98,2.00,2.00;2.00
24.18,417.30,1007.30,1509.98,0.98,1.96;0.00
24.68,417.30,1007.30,1509.98,1.00,0.00;2.00
25.18,417.30,1007.30,1509.98,0.00,0.00;0.00
25.68,417.30,1007.30,1509.98,2.00,2.00;2.00
26.18,417.30,1007.30,1509.98,3.96,4.00;3.92
26.68,417.30,1007.30,1509.98,2.88,5.77;0.00
27.18,417.30,1007.30,1509.98,3.12,6.25;0.00
27.68,417.29,1007.30,1510.00,9.94,14.00;5.88
28.18,417.29,1007.30,1510.00,7.05,6.25;7.84
28.68,417.29,1007.30,1510.00,4.00,6.00;2.00
29.18,417.29,1007.30,1510.00,0.00,0.00;0.00
29.68,417.29,1007.30,1510.00,5.02,2.04;8.00
30.18,417.29,1007.30,1510.00,17.72,21.15;14.29
30.68,417.29,1007.30,1510.00,1.00,0.00;2.00
31.18,417.29,1007.30,1510.00,1.00,0.00;2.00
31.68,417.29,1007.30,1510.00,1.98,1.96;2.00
32.18,416.55,1008.04,1510.73,37.37,38.00;36.73
32.68,393.41,1031.18,1533.88,65.90,58.33;73.47
33.18,399.10,1025.48,1528.19,64.63,66.00;63.27
33.68,399.10,1025.48,1528.19,1.00,0.00;2.00
34.18,399.10,1025.48,1528.19,1.00,0.00;2.00
34.68,399.10,1025.48,1528.19,1.00,0.00;2.00
35.18,399.10,1025.48,1528.19,1.00,0.00;2.00
35.68,399.10,1025.48,1528.19,2.96,3.92;2.00
36.18,399.10,1025.48,1528.19,1.00,2.00;0.00
36.68,399.10,1025.48,1528.19,2.94,5.88;0.00
37.18,399.10,1025.48,1528.19,1.00,0.00;2.00
37.68,399.10,1025.48,1528.19,1.96,0.00;3.92
38.18,399.10,1025.48,1528.19,2.88,5.77;0.00
38.68,399.10,1025.48,1528.19,1.00,0.00;2.00
39.18,399.10,1025.48,1528.19,1.00,0.00;2.00
39.68,399.10,1025.48,1528.19,2.92,2.00;3.85
40.18,399.10,1025.48,1528.19,1.00,2.00;0.00
40.68,399.10,1025.48,1528.19,2.98,2.04;3.92
41.18,399.10,1025.48,1528.19,1.00,0.00;2.00
41.68,399.10,1025.48,1528.19,1.00,0.00;2.00
42.18,399.10,1025.48,1528.19,1.00,2.00;0.00
42.68,399.10,1025.48,1528.19,2.96,2.00;3.92
43.18,399.10,1025.48,1528.19,2.96,3.92;2.00
43.68,399.02,1025.55,1528.27,53.00,54.00;52.00
44.18,398.53,1026.04,1528.75,48.98,42.86;55.10
