INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719413665.9832752,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.19,397.75,995.62,1529.54,0.00,0.00;0.00
0.68,399.04,994.33,1528.25,45.45,40.91;50.00
1.18,399.04,994.33,1528.25,2.96,3.92;2.00
1.68,399.04,994.33,1528.25,1.98,2.00;1.96
2.18,399.03,994.33,1528.25,0.00,0.00;0.00
2.68,399.03,994.33,1528.25,2.00,2.00;2.00
3.19,399.03,994.33,1528.25,2.96,3.92;2.00
3.68,399.03,994.33,1528.25,2.00,2.00;2.00
4.19,399.03,994.33,1528.25,1.00,0.00;2.00
4.69,399.03,994.33,1528.25,0.00,0.00;0.00
5.18,399.03,994.33,1528.25,2.96,2.00;3.92
5.68,399.03,994.33,1528.25,2.96,3.92;2.00
6.18,399.03,994.33,1528.25,1.00,0.00;2.00
6.68,399.03,994.33,1528.25,1.00,2.00;0.00
7.18,399.03,994.33,1528.25,1.00,0.00;2.00
7.68,399.03,994.33,1528.25,2.00,2.00;2.00
8.19,399.03,994.33,1528.25,0.00,0.00;0.00
8.68,399.03,994.33,1528.25,2.92,3.85;2.00
9.18,399.03,994.33,1528.25,2.02,2.04;2.00
9.69,399.03,994.33,1528.25,2.00,2.00;2.00
10.19,399.02,994.33,1528.27,1.98,1.96;2.00
10.69,398.68,994.67,1528.61,15.45,14.58;16.33
11.19,399.94,993.41,1527.34,59.04,56.86;61.22
11.68,411.05,982.30,1516.24,61.55,68.75;54.35
12.18,436.48,956.81,1490.81,36.52,4.00;69.05
12.69,438.94,954.35,1488.35,6.04,2.08;10.00
13.19,438.94,954.35,1488.35,2.00,2.00;2.00
13.69,438.94,954.35,1488.35,1.96,3.92;0.00
14.18,438.94,954.35,1488.35,7.99,10.20;5.77
14.68,438.94,954.35,1488.35,1.92,3.85;0.00
15.19,438.94,954.35,1488.35,1.00,2.00;0.00
15.69,438.94,954.35,1488.35,1.00,2.00;0.00
16.18,446.71,946.57,1480.57,4.00,4.08;3.92
16.69,447.18,946.11,1480.11,47.96,47.92;48.00
17.19,447.19,946.11,1480.09,48.51,51.02;46.00
17.68,447.43,945.86,1479.86,44.79,50.00;39.58
18.18,447.43,945.86,1479.86,48.02,48.98;47.06
18.68,447.43,945.86,1479.86,52.00,50.00;54.00
19.19,447.43,945.86,1479.86,49.51,49.02;50.00
19.69,447.43,945.86,1479.86,47.96,46.94;48.98
20.18,447.43,945.86,1479.86,46.83,44.68;48.98
20.69,447.68,945.61,1479.61,46.00,46.00;46.00
21.18,447.68,945.61,1479.61,45.96,47.92;44.00
21.68,447.68,945.61,1479.61,7.92,8.00;7.84
22.18,447.68,945.61,1479.61,3.92,3.92;3.92
22.69,447.68,945.61,1479.61,1.00,2.00;0.00
23.19,447.68,945.61,1479.61,3.00,4.00;2.00
23.69,447.68,945.61,1479.61,9.18,10.20;8.16
24.19,447.68,945.61,1479.61,2.00,0.00;4.00
24.68,447.68,945.61,1479.61,0.98,0.00;1.96
25.18,447.68,945.61,1479.61,1.00,2.00;0.00
25.69,447.68,945.61,1479.61,1.00,2.00;0.00
26.19,447.68,945.61,1479.61,3.02,4.00;2.04
26.68,447.68,945.61,1479.61,0.00,0.00;0.00
27.18,447.67,945.61,1479.62,4.85,3.92;5.77
27.68,447.67,945.61,1479.62,2.00,2.00;2.00
28.19,447.67,945.61,1479.62,1.98,2.00;1.96
28.69,447.67,945.61,1479.62,0.00,0.00;0.00
29.18,447.67,945.61,1479.62,1.00,0.00;2.00
29.68,447.67,945.61,1479.62,0.98,1.96;0.00
30.19,447.67,945.61,1479.62,2.00,2.00;2.00
30.68,447.67,945.61,1479.62,0.00,0.00;0.00
31.18,447.67,945.61,1479.62,3.96,3.92;4.00
31.68,447.39,945.89,1479.89,13.00,14.00;12.00
32.18,416.12,977.14,1511.16,57.14,65.31;48.98
32.68,400.46,992.82,1526.82,31.78,42.00;21.57
33.18,400.46,992.82,1526.82,2.02,2.00;2.04
33.68,400.46,992.82,1526.82,0.98,0.00;1.96
34.18,400.46,992.82,1526.82,1.02,2.04;0.00
34.68,400.46,992.82,1526.82,2.00,2.00;2.00
35.19,400.46,992.82,1526.82,4.96,2.08;7.84
35.69,400.46,992.82,1526.82,1.00,2.00;0.00
36.18,400.46,992.82,1526.82,1.00,0.00;2.00
36.69,400.46,992.82,1526.82,3.92,3.92;3.92
37.18,400.46,992.82,1526.82,2.96,3.92;2.00
37.69,400.46,992.82,1526.82,0.00,0.00;0.00
38.19,400.46,992.82,1526.82,2.00,2.00;2.00
38.68,400.46,992.82,1526.82,1.00,0.00;2.00
39.18,400.46,992.82,1526.82,2.00,2.00;2.00
39.69,400.46,992.82,1526.82,1.00,0.00;2.00
40.18,400.46,992.82,1526.82,3.00,4.00;2.00
40.68,400.46,992.82,1526.82,0.00,0.00;0.00
41.18,400.46,992.82,1526.82,2.98,2.04;3.92
41.68,400.46,992.82,1526.82,0.00,0.00;0.00
42.19,400.46,992.82,1526.83,2.02,2.04;2.00
42.68,398.91,994.36,1528.38,20.76,18.00;23.53
43.18,399.22,994.05,1528.07,37.31,30.61;44.00
43.68,399.46,993.80,1527.82,47.47,46.94;48.00
